,tenure,tenure_group
3218,68,61-80
3219,24,21-40
3220,70,61-80
3221,3,0-20
3222,2,0-20
3223,3,0-20
3224,7,0-20
3225,13,0-20
3226,7,0-20
3227,12,0-20
3228,53,41-60
3229,12,0-20
3230,63,61-80
3231,15,0-20
3232,36,21-40
3233,4,0-20
3234,24,21-40
3235,61,61-80
3236,16,0-20
3237,65,61-80
3238,26,21-40
3239,16,0-20
3240,54,41-60
3241,1,0-20
3242,5,0-20
3243,19,0-20
3244,10,0-20
3245,23,21-40
3246,3,0-20
3247,72,61-80
3248,10,0-20
3249,10,0-20
3250,11,0-20
3251,37,21-40
3252,17,0-20
3253,36,21-40
3254,17,0-20
3255,66,61-80
3256,61,61-80
3257,22,21-40
3258,1,0-20
3259,6,0-20
3260,31,21-40
3261,68,61-80
3262,34,21-40
3263,52,41-60
3264,10,0-20
3265,29,21-40
3266,72,61-80
3267,47,41-60
3268,24,21-40
3269,65,61-80
3270,4,0-20
3271,12,0-20
3272,1,0-20
3273,33,21-40
3274,34,21-40
3275,14,0-20
3276,4,0-20
3277,13,0-20
3278,65,61-80
3279,23,21-40
3280,55,41-60
3281,49,41-60
3282,60,41-60
3283,69,61-80
3284,40,21-40
3285,67,61-80
3286,35,21-40
3287,19,0-20
3288,13,0-20
3289,41,41-60
3290,4,0-20
3291,24,21-40
3292,5,0-20
3293,5,0-20
3294,1,0-20
3295,72,61-80
3296,24,21-40
3297,42,41-60
3298,4,0-20
3299,68,61-80
3300,33,21-40
3301,1,0-20
3302,31,21-40
3303,4,0-20
3304,69,61-80
3305,38,21-40
3306,3,0-20
3307,48,41-60
3308,15,0-20
3309,25,21-40
3310,1,0-20
3311,48,41-60
3312,1,0-20
3313,1,0-20
3314,37,21-40
3315,66,61-80
3316,26,21-40
3317,63,61-80
3318,10,0-20
3319,2,0-20
3320,18,0-20
3321,64,61-80
3322,9,0-20
3323,28,21-40
3324,1,0-20
3325,4,0-20
3326,38,21-40
3327,66,61-80
3328,1,0-20
3329,18,0-20
3330,51,41-60
3331,0,0-20
3332,1,0-20
3333,12,0-20
3334,41,41-60
3335,12,0-20
3336,55,41-60
3337,7,0-20
3338,12,0-20
3339,68,61-80
3340,5,0-20
3341,49,41-60
3342,40,21-40
3343,16,0-20
3344,10,0-20
3345,72,61-80
3346,2,0-20
3347,23,21-40
3348,71,61-80
3349,11,0-20
3350,1,0-20
3351,16,0-20
3352,1,0-20
3353,12,0-20
3354,54,41-60
3355,68,61-80
3356,4,0-20
3357,1,0-20
3358,27,21-40
3359,21,21-40
3360,13,0-20
3361,64,61-80
3362,1,0-20
3363,57,41-60
3364,21,21-40
3365,19,0-20
3366,31,21-40
3367,52,41-60
3368,46,41-60
3369,11,0-20
3370,53,41-60
3371,11,0-20
3372,57,41-60
3373,2,0-20
3374,2,0-20
3375,71,61-80
3376,1,0-20
3377,68,61-80
3378,72,61-80
3379,2,0-20
3380,1,0-20
3381,41,41-60
3382,72,61-80
3383,6,0-20
3384,4,0-20
3385,12,0-20
3386,58,41-60
3387,7,0-20
3388,65,61-80
3389,1,0-20
3390,56,41-60
3391,4,0-20
3392,58,41-60
3393,62,61-80
3394,26,21-40
3395,62,61-80
3396,58,41-60
3397,68,61-80
3398,61,61-80
3399,42,41-60
3400,18,0-20
3401,56,41-60
3402,4,0-20
3403,4,0-20
3404,35,21-40
3405,64,61-80
3406,31,21-40
3407,67,61-80
3408,4,0-20
3409,70,61-80
3410,3,0-20
3411,53,41-60
3412,2,0-20
3413,29,21-40
3414,47,41-60
3415,68,61-80
3416,12,0-20
3417,8,0-20
3418,54,41-60
3419,69,61-80
3420,26,21-40
3421,72,61-80
3422,70,61-80
3423,1,0-20
3424,10,0-20
3425,28,21-40
3426,1,0-20
3427,21,21-40
3428,51,41-60
3429,53,41-60
3430,53,41-60
3431,24,21-40
3432,70,61-80
3433,61,61-80
3434,11,0-20
3435,2,0-20
3436,25,21-40
3437,41,41-60
3438,18,0-20
3439,72,61-80
3440,71,61-80
3441,34,21-40
3442,29,21-40
3443,40,21-40
3444,36,21-40
3445,46,41-60
3446,58,41-60
3447,39,21-40
3448,4,0-20
3449,52,41-60
3450,70,61-80
3451,65,61-80
3452,1,0-20
3453,70,61-80
3454,29,21-40
3455,1,0-20
3456,67,61-80
3457,1,0-20
3458,26,21-40
3459,30,21-40
3460,48,41-60
3461,55,41-60
3462,7,0-20
3463,37,21-40
3464,31,21-40
3465,4,0-20
3466,72,61-80
3467,5,0-20
3468,1,0-20
3469,15,0-20
3470,8,0-20
3471,35,21-40
3472,56,41-60
3473,42,41-60
3474,65,61-80
3475,2,0-20
3476,65,61-80
3477,18,0-20
3478,23,21-40
3479,4,0-20
3480,70,61-80
3481,4,0-20
3482,19,0-20
3483,18,0-20
3484,38,21-40
3485,2,0-20
3486,47,41-60
3487,52,41-60
3488,9,0-20
3489,26,21-40
3490,8,0-20
3491,44,41-60
3492,3,0-20
3493,2,0-20
3494,9,0-20
3495,1,0-20
3496,25,21-40
3497,2,0-20
3498,43,41-60
3499,1,0-20
3500,58,41-60
3501,59,41-60
3502,44,41-60
3503,66,61-80
3504,68,61-80
3505,9,0-20
3506,19,0-20
3507,4,0-20
3508,70,61-80
3509,1,0-20
3510,8,0-20
3511,53,41-60
3512,51,41-60
3513,11,0-20
3514,60,41-60
3515,17,0-20
3516,3,0-20
3517,70,61-80
3518,1,0-20
3519,43,41-60
3520,16,0-20
3521,57,41-60
3522,37,21-40
3523,72,61-80
3524,11,0-20
3525,50,41-60
3526,5,0-20
3527,1,0-20
3528,16,0-20
3529,2,0-20
3530,17,0-20
3531,16,0-20
3532,15,0-20
3533,10,0-20
3534,46,41-60
3535,64,61-80
3536,1,0-20
3537,25,21-40
3538,71,61-80
3539,8,0-20
3540,72,61-80
3541,49,41-60
3542,29,21-40
3543,72,61-80
3544,31,21-40
3545,50,41-60
3546,71,61-80
3547,70,61-80
3548,71,61-80
3549,61,61-80
3550,32,21-40
3551,1,0-20
3552,68,61-80
3553,62,61-80
3554,7,0-20
3555,20,0-20
3556,6,0-20
3557,33,21-40
3558,28,21-40
3559,27,21-40
3560,7,0-20
3561,26,21-40
3562,5,0-20
3563,30,21-40
3564,63,61-80
3565,1,0-20
3566,53,41-60
3567,14,0-20
3568,21,21-40
3569,17,0-20
3570,16,0-20
3571,35,21-40
3572,32,21-40
3573,28,21-40
3574,1,0-20
3575,59,41-60
3576,72,61-80
3577,36,21-40
3578,40,21-40
3579,40,21-40
3580,9,0-20
3581,63,61-80
3582,3,0-20
3583,40,21-40
3584,8,0-20
3585,34,21-40
3586,5,0-20
3587,9,0-20
3588,9,0-20
3589,31,21-40
3590,50,41-60
3591,2,0-20
3592,1,0-20
3593,8,0-20
3594,9,0-20
3595,2,0-20
3596,3,0-20
3597,25,21-40
3598,1,0-20
3599,45,41-60
3600,51,41-60
3601,55,41-60
3602,38,21-40
3603,2,0-20
3604,38,21-40
3605,34,21-40
3606,70,61-80
3607,13,0-20
3608,39,21-40
3609,61,61-80
3610,12,0-20
3611,41,41-60
3612,21,21-40
3613,55,41-60
3614,69,61-80
3615,26,21-40
3616,69,61-80
3617,18,0-20
3618,47,41-60
3619,72,61-80
3620,33,21-40
3621,2,0-20
3622,72,61-80
3623,37,21-40
3624,62,61-80
3625,71,61-80
3626,23,21-40
3627,16,0-20
3628,9,0-20
3629,17,0-20
3630,4,0-20
3631,1,0-20
3632,24,21-40
3633,1,0-20
3634,72,61-80
3635,72,61-80
3636,11,0-20
3637,9,0-20
3638,2,0-20
3639,60,41-60
3640,29,21-40
3641,49,41-60
3642,30,21-40
3643,53,41-60
3644,39,21-40
3645,9,0-20
3646,39,21-40
3647,8,0-20
3648,51,41-60
3649,71,61-80
3650,71,61-80
3651,70,61-80
3652,1,0-20
3653,38,21-40
3654,28,21-40
3655,32,21-40
3656,49,41-60
3657,37,21-40
3658,10,0-20
3659,67,61-80
3660,7,0-20
3661,51,41-60
3662,9,0-20
3663,9,0-20
3664,4,0-20
3665,71,61-80
3666,50,41-60
3667,24,21-40
3668,22,21-40
3669,44,41-60
3670,33,21-40
3671,1,0-20
3672,54,41-60
3673,42,41-60
3674,1,0-20
3675,1,0-20
3676,30,21-40
3677,1,0-20
3678,16,0-20
3679,1,0-20
3680,9,0-20
3681,46,41-60
3682,1,0-20
3683,71,61-80
3684,43,41-60
3685,50,41-60
3686,13,0-20
3687,19,0-20
3688,41,41-60
3689,1,0-20
3690,24,21-40
3691,40,21-40
3692,3,0-20
3693,37,21-40
3694,67,61-80
3695,32,21-40
3696,6,0-20
3697,32,21-40
3698,59,41-60
3699,30,21-40
3700,20,0-20
3701,27,21-40
3702,20,0-20
3703,9,0-20
3704,68,61-80
3705,69,61-80
3706,26,21-40
3707,69,61-80
3708,11,0-20
3709,1,0-20
3710,10,0-20
3711,55,41-60
3712,44,41-60
3713,46,41-60
3714,69,61-80
3715,11,0-20
3716,11,0-20
3717,29,21-40
3718,57,41-60
3719,28,21-40
3720,42,41-60
3721,2,0-20
3722,23,21-40
3723,18,0-20
3724,62,61-80
3725,1,0-20
3726,16,0-20
3727,3,0-20
3728,67,61-80
3729,62,61-80
3730,57,41-60
3731,2,0-20
3732,23,21-40
3733,25,21-40
3734,72,61-80
3735,2,0-20
3736,8,0-20
3737,5,0-20
3738,35,21-40
3739,24,21-40
3740,2,0-20
3741,72,61-80
3742,41,41-60
3743,4,0-20
3744,26,21-40
3745,7,0-20
3746,1,0-20
3747,4,0-20
3748,48,41-60
3749,2,0-20
3750,12,0-20
3751,60,41-60
3752,55,41-60
3753,1,0-20
3754,1,0-20
3755,4,0-20
3756,1,0-20
3757,42,41-60
3758,1,0-20
3759,7,0-20
3760,3,0-20
3761,72,61-80
3762,15,0-20
3763,4,0-20
3764,11,0-20
3765,5,0-20
3766,1,0-20
3767,72,61-80
3768,55,41-60
3769,40,21-40
3770,57,41-60
3771,1,0-20
3772,1,0-20
3773,1,0-20
3774,52,41-60
3775,41,41-60
3776,43,41-60
3777,47,41-60
3778,3,0-20
3779,66,61-80
3780,55,41-60
3781,29,21-40
3782,12,0-20
3783,66,61-80
3784,35,21-40
3785,10,0-20
3786,27,21-40
3787,58,41-60
3788,54,41-60
3789,9,0-20
3790,2,0-20
3791,6,0-20
3792,26,21-40
3793,9,0-20
3794,8,0-20
3795,12,0-20
3796,15,0-20
3797,43,41-60
3798,42,41-60
3799,31,21-40
3800,66,61-80
3801,18,0-20
3802,1,0-20
3803,61,61-80
3804,10,0-20
3805,1,0-20
3806,18,0-20
3807,24,21-40
3808,3,0-20
3809,50,41-60
3810,1,0-20
3811,2,0-20
3812,17,0-20
3813,69,61-80
3814,72,61-80
3815,3,0-20
3816,50,41-60
3817,53,41-60
3818,58,41-60
3819,46,41-60
3820,72,61-80
3821,1,0-20
3822,6,0-20
3823,72,61-80
3824,4,0-20
3825,52,41-60
3826,0,0-20
3827,2,0-20
3828,65,61-80
3829,43,41-60
3830,4,0-20
3831,25,21-40
3832,51,41-60
3833,12,0-20
3834,57,41-60
3835,24,21-40
3836,64,61-80
3837,4,0-20
3838,26,21-40
3839,15,0-20
3840,64,61-80
3841,36,21-40
3842,27,21-40
3843,1,0-20
3844,35,21-40
3845,4,0-20
3846,8,0-20
3847,10,0-20
3848,2,0-20
3849,58,41-60
3850,51,41-60
3851,46,41-60
3852,1,0-20
3853,46,41-60
3854,50,41-60
3855,53,41-60
3856,61,61-80
3857,5,0-20
3858,47,41-60
3859,54,41-60
3860,19,0-20
3861,26,21-40
3862,70,61-80
3863,17,0-20
3864,30,21-40
3865,1,0-20
3866,19,0-20
3867,26,21-40
3868,21,21-40
3869,50,41-60
3870,68,61-80
3871,3,0-20
3872,9,0-20
3873,51,41-60
3874,9,0-20
3875,41,41-60
3876,22,21-40
3877,21,21-40
3878,71,61-80
3879,1,0-20
3880,26,21-40
3881,71,61-80
3882,4,0-20
3883,12,0-20
3884,18,0-20
3885,3,0-20
3886,72,61-80
3887,11,0-20
3888,1,0-20
3889,13,0-20
3890,72,61-80
3891,42,41-60
3892,17,0-20
3893,7,0-20
3894,68,61-80
3895,56,41-60
3896,38,21-40
3897,72,61-80
3898,48,41-60
3899,52,41-60
3900,35,21-40
3901,67,61-80
3902,1,0-20
3903,53,41-60
3904,34,21-40
3905,3,0-20
3906,1,0-20
3907,19,0-20
3908,60,41-60
3909,11,0-20
3910,47,41-60
3911,18,0-20
3912,60,41-60
3913,72,61-80
3914,39,21-40
3915,59,41-60
3916,2,0-20
3917,1,0-20
3918,20,0-20
3919,6,0-20
3920,71,61-80
3921,24,21-40
3922,67,61-80
3923,1,0-20
3924,48,41-60
3925,37,21-40
3926,11,0-20
3927,3,0-20
3928,18,0-20
3929,50,41-60
3930,67,61-80
3931,25,21-40
3932,2,0-20
3933,9,0-20
3934,10,0-20
3935,70,61-80
3936,9,0-20
3937,4,0-20
3938,2,0-20
3939,1,0-20
3940,19,0-20
3941,7,0-20
3942,1,0-20
3943,1,0-20
3944,9,0-20
3945,3,0-20
3946,9,0-20
3947,5,0-20
3948,56,41-60
3949,18,0-20
3950,49,41-60
3951,70,61-80
3952,72,61-80
3953,6,0-20
3954,17,0-20
3955,29,21-40
3956,6,0-20
3957,63,61-80
3958,16,0-20
3959,59,41-60
3960,3,0-20
3961,8,0-20
3962,7,0-20
3963,68,61-80
3964,68,61-80
3965,52,41-60
3966,72,61-80
3967,32,21-40
3968,72,61-80
3969,1,0-20
3970,42,41-60
3971,25,21-40
3972,45,41-60
3973,43,41-60
3974,37,21-40
3975,20,0-20
3976,4,0-20
3977,63,61-80
3978,3,0-20
3979,66,61-80
3980,28,21-40
3981,8,0-20
3982,71,61-80
3983,1,0-20
3984,72,61-80
3985,16,0-20
3986,66,61-80
3987,11,0-20
3988,51,41-60
3989,8,0-20
3990,14,0-20
3991,4,0-20
3992,70,61-80
3993,70,61-80
3994,54,41-60
3995,28,21-40
3996,24,21-40
3997,69,61-80
3998,42,41-60
3999,2,0-20
4000,39,21-40
4001,45,41-60
4002,72,61-80
4003,38,21-40
4004,72,61-80
4005,1,0-20
4006,72,61-80
4007,55,41-60
4008,51,41-60
4009,63,61-80
4010,1,0-20
4011,23,21-40
4012,1,0-20
4013,2,0-20
4014,52,41-60
4015,36,21-40
4016,1,0-20
4017,28,21-40
4018,7,0-20
4019,14,0-20
4020,72,61-80
4021,1,0-20
4022,10,0-20
4023,42,41-60
4024,7,0-20
4025,4,0-20
4026,72,61-80
4027,20,0-20
4028,63,61-80
4029,56,41-60
4030,5,0-20
4031,72,61-80
4032,68,61-80
4033,67,61-80
4034,8,0-20
4035,52,41-60
4036,18,0-20
4037,59,41-60
4038,60,41-60
4039,7,0-20
4040,59,41-60
4041,46,41-60
4042,5,0-20
4043,59,41-60
4044,70,61-80
4045,14,0-20
4046,44,41-60
4047,64,61-80
4048,58,41-60
4049,46,41-60
4050,58,41-60
4051,72,61-80
4052,30,21-40
4053,11,0-20
4054,34,21-40
4055,54,41-60
4056,3,0-20
4057,72,61-80
4058,40,21-40
4059,2,0-20
4060,54,41-60
4061,14,0-20
4062,1,0-20
4063,10,0-20
4064,1,0-20
4065,1,0-20
4066,56,41-60
4067,68,61-80
4068,14,0-20
4069,68,61-80
4070,55,41-60
4071,16,0-20
4072,9,0-20
4073,14,0-20
4074,58,41-60
4075,53,41-60
4076,70,61-80
4077,14,0-20
4078,22,21-40
4079,10,0-20
4080,29,21-40
4081,1,0-20
4082,49,41-60
4083,68,61-80
4084,1,0-20
4085,30,21-40
4086,72,61-80
4087,10,0-20
4088,7,0-20
4089,9,0-20
4090,1,0-20
4091,20,0-20
4092,1,0-20
4093,29,21-40
4094,1,0-20
4095,3,0-20
4096,20,0-20
4097,64,61-80
4098,1,0-20
4099,6,0-20
4100,50,41-60
4101,6,0-20
4102,7,0-20
4103,72,61-80
4104,8,0-20
4105,67,61-80
4106,24,21-40
4107,72,61-80
4108,33,21-40
4109,2,0-20
4110,70,61-80
4111,22,21-40
4112,59,41-60
4113,36,21-40
4114,51,41-60
4115,53,41-60
4116,20,0-20
4117,63,61-80
4118,40,21-40
4119,35,21-40
4120,26,21-40
4121,27,21-40
4122,53,41-60
4123,34,21-40
4124,19,0-20
4125,43,41-60
4126,6,0-20
4127,56,41-60
4128,57,41-60
4129,34,21-40
4130,10,0-20
4131,1,0-20
4132,13,0-20
4133,56,41-60
4134,55,41-60
4135,36,21-40
4136,47,41-60
4137,12,0-20
4138,1,0-20
4139,24,21-40
4140,63,61-80
4141,35,21-40
4142,67,61-80
4143,25,21-40
4144,21,21-40
4145,13,0-20
4146,35,21-40
4147,71,61-80
4148,29,21-40
4149,71,61-80
4150,7,0-20
4151,57,41-60
4152,65,61-80
4153,27,21-40
4154,6,0-20
4155,72,61-80
4156,1,0-20
4157,11,0-20
4158,39,21-40
4159,59,41-60
4160,26,21-40
4161,2,0-20
4162,72,61-80
4163,65,61-80
4164,72,61-80
4165,6,0-20
4166,32,21-40
4167,50,41-60
4168,61,61-80
4169,15,0-20
4170,72,61-80
4171,9,0-20
4172,1,0-20
4173,12,0-20
4174,37,21-40
4175,61,61-80
4176,18,0-20
4177,21,21-40
4178,68,61-80
4179,12,0-20
4180,2,0-20
4181,62,61-80
4182,29,21-40
4183,1,0-20
4184,5,0-20
4185,1,0-20
4186,62,61-80
4187,36,21-40
4188,28,21-40
4189,69,61-80
4190,11,0-20
4191,63,61-80
4192,23,21-40
4193,10,0-20
4194,71,61-80
4195,45,41-60
4196,70,61-80
4197,22,21-40
4198,52,41-60
4199,55,41-60
4200,65,61-80
4201,72,61-80
4202,10,0-20
4203,7,0-20
4204,5,0-20
4205,24,21-40
4206,72,61-80
4207,21,21-40
4208,69,61-80
4209,44,41-60
4210,61,61-80
4211,24,21-40
4212,1,0-20
4213,6,0-20
4214,4,0-20
4215,72,61-80
4216,72,61-80
4217,14,0-20
4218,7,0-20
4219,48,41-60
4220,55,41-60
4221,1,0-20
4222,45,41-60
4223,3,0-20
4224,71,61-80
4225,8,0-20
4226,3,0-20
4227,69,61-80
4228,1,0-20
4229,72,61-80
4230,11,0-20
4231,71,61-80
4232,1,0-20
4233,33,21-40
4234,16,0-20
4235,56,41-60
4236,1,0-20
4237,5,0-20
4238,57,41-60
4239,56,41-60
4240,8,0-20
4241,22,21-40
4242,1,0-20
4243,40,21-40
4244,46,41-60
4245,63,61-80
4246,68,61-80
4247,69,61-80
4248,56,41-60
4249,10,0-20
4250,63,61-80
4251,24,21-40
4252,19,0-20
4253,22,21-40
4254,29,21-40
4255,13,0-20
4256,70,61-80
4257,49,41-60
4258,43,41-60
4259,3,0-20
4260,42,41-60
4261,57,41-60
4262,2,0-20
4263,72,61-80
4264,46,41-60
4265,66,61-80
4266,62,61-80
4267,72,61-80
4268,35,21-40
4269,17,0-20
4270,72,61-80
4271,28,21-40
4272,56,41-60
4273,31,21-40
4274,45,41-60
4275,1,0-20
4276,2,0-20
4277,6,0-20
4278,48,41-60
4279,25,21-40
4280,64,61-80
4281,50,41-60
4282,52,41-60
4283,4,0-20
4284,32,21-40
4285,45,41-60
4286,9,0-20
4287,66,61-80
4288,3,0-20
4289,54,41-60
4290,1,0-20
4291,64,61-80
4292,31,21-40
4293,14,0-20
4294,12,0-20
4295,67,61-80
4296,35,21-40
4297,45,41-60
4298,10,0-20
4299,29,21-40
4300,24,21-40
4301,66,61-80
4302,51,41-60
4303,45,41-60
4304,49,41-60
4305,29,21-40
4306,40,21-40
4307,37,21-40
4308,25,21-40
4309,22,21-40
4310,72,61-80
4311,7,0-20
4312,33,21-40
4313,23,21-40
4314,24,21-40
4315,1,0-20
4316,69,61-80
4317,3,0-20
4318,56,41-60
4319,65,61-80
4320,71,61-80
4321,14,0-20
4322,2,0-20
4323,32,21-40
4324,40,21-40
4325,1,0-20
4326,1,0-20
4327,7,0-20
4328,15,0-20
4329,17,0-20
4330,19,0-20
4331,71,61-80
4332,54,41-60
4333,31,21-40
4334,11,0-20
4335,18,0-20
4336,72,61-80
4337,71,61-80
4338,5,0-20
4339,38,21-40
4340,5,0-20
4341,2,0-20
4342,52,41-60
4343,8,0-20
4344,68,61-80
4345,69,61-80
4346,42,41-60
4347,50,41-60
4348,1,0-20
4349,1,0-20
4350,33,21-40
4351,7,0-20
4352,64,61-80
4353,1,0-20
4354,59,41-60
4355,6,0-20
4356,3,0-20
4357,15,0-20
4358,13,0-20
4359,23,21-40
4360,31,21-40
4361,29,21-40
4362,49,41-60
4363,56,41-60
4364,63,61-80
4365,63,61-80
4366,24,21-40
4367,36,21-40
4368,9,0-20
4369,3,0-20
4370,21,21-40
4371,13,0-20
4372,1,0-20
4373,25,21-40
4374,71,61-80
4375,66,61-80
4376,45,41-60
4377,22,21-40
4378,67,61-80
4379,68,61-80
4380,0,0-20
4381,49,41-60
4382,4,0-20
4383,63,61-80
4384,2,0-20
4385,21,21-40
4386,55,41-60
4387,1,0-20
4388,17,0-20
4389,30,21-40
4390,22,21-40
4391,9,0-20
4392,1,0-20
4393,21,21-40
4394,19,0-20
4395,69,61-80
4396,1,0-20
4397,72,61-80
4398,70,61-80
4399,66,61-80
4400,7,0-20
4401,46,41-60
4402,39,21-40
4403,32,21-40
4404,24,21-40
4405,6,0-20
4406,37,21-40
4407,8,0-20
4408,72,61-80
4409,71,61-80
4410,16,0-20
4411,57,41-60
4412,66,61-80
4413,17,0-20
4414,21,21-40
4415,66,61-80
4416,17,0-20
4417,1,0-20
4418,58,41-60
4419,8,0-20
4420,27,21-40
4421,34,21-40
4422,30,21-40
4423,33,21-40
4424,1,0-20
4425,14,0-20
4426,16,0-20
4427,49,41-60
4428,19,0-20
4429,70,61-80
4430,32,21-40
4431,18,0-20
4432,37,21-40
4433,4,0-20
4434,16,0-20
4435,17,0-20
4436,19,0-20
4437,60,41-60
4438,51,41-60
4439,28,21-40
4440,43,41-60
4441,42,41-60
4442,3,0-20
4443,1,0-20
4444,3,0-20
4445,63,61-80
4446,3,0-20
4447,68,61-80
4448,30,21-40
4449,60,41-60
4450,15,0-20
4451,45,41-60
4452,70,61-80
4453,10,0-20
4454,4,0-20
4455,1,0-20
4456,68,61-80
4457,22,21-40
4458,38,21-40
4459,1,0-20
4460,18,0-20
4461,29,21-40
4462,16,0-20
4463,1,0-20
4464,12,0-20
4465,31,21-40
4466,4,0-20
4467,48,41-60
4468,15,0-20
4469,50,41-60
4470,7,0-20
4471,41,41-60
4472,68,61-80
4473,26,21-40
4474,57,41-60
4475,3,0-20
4476,1,0-20
4477,19,0-20
4478,3,0-20
4479,59,41-60
4480,1,0-20
4481,42,41-60
4482,7,0-20
4483,67,61-80
4484,1,0-20
4485,66,61-80
4486,61,61-80
4487,4,0-20
4488,42,41-60
4489,64,61-80
4490,54,41-60
4491,1,0-20
4492,54,41-60
4493,18,0-20
4494,3,0-20
4495,1,0-20
4496,72,61-80
4497,60,41-60
4498,11,0-20
4499,12,0-20
4500,61,61-80
4501,39,21-40
4502,55,41-60
4503,17,0-20
4504,37,21-40
4505,72,61-80
4506,72,61-80
4507,8,0-20
4508,22,21-40
4509,1,0-20
4510,38,21-40
4511,17,0-20
4512,70,61-80
4513,72,61-80
4514,28,21-40
4515,15,0-20
4516,72,61-80
4517,11,0-20
4518,8,0-20
4519,57,41-60
4520,1,0-20
4521,46,41-60
4522,30,21-40
4523,10,0-20
4524,23,21-40
4525,32,21-40
4526,13,0-20
4527,39,21-40
4528,44,41-60
4529,9,0-20
4530,67,61-80
4531,9,0-20
4532,15,0-20
4533,71,61-80
4534,1,0-20
4535,30,21-40
4536,1,0-20
4537,17,0-20
4538,3,0-20
4539,67,61-80
4540,1,0-20
4541,1,0-20
4542,32,21-40
4543,41,41-60
4544,1,0-20
4545,1,0-20
4546,12,0-20
4547,62,61-80
4548,22,21-40
4549,17,0-20
4550,72,61-80
4551,56,41-60
4552,9,0-20
4553,72,61-80
4554,20,0-20
4555,19,0-20
4556,2,0-20
4557,53,41-60
4558,27,21-40
4559,6,0-20
4560,9,0-20
4561,8,0-20
4562,71,61-80
4563,10,0-20
4564,1,0-20
4565,71,61-80
4566,68,61-80
4567,34,21-40
4568,26,21-40
4569,22,21-40
4570,7,0-20
4571,20,0-20
4572,60,41-60
4573,72,61-80
4574,72,61-80
4575,4,0-20
4576,16,0-20
4577,62,61-80
4578,10,0-20
4579,31,21-40
4580,71,61-80
4581,58,41-60
4582,70,61-80
4583,71,61-80
4584,69,61-80
4585,1,0-20
4586,72,61-80
4587,26,21-40
4588,33,21-40
4589,10,0-20
4590,57,41-60
4591,10,0-20
4592,39,21-40
4593,11,0-20
4594,21,21-40
4595,68,61-80
4596,18,0-20
4597,6,0-20
4598,18,0-20
4599,52,41-60
4600,56,41-60
4601,45,41-60
4602,67,61-80
4603,3,0-20
4604,65,61-80
4605,63,61-80
4606,11,0-20
4607,1,0-20
4608,55,41-60
4609,25,21-40
4610,72,61-80
4611,72,61-80
4612,65,61-80
4613,54,41-60
4614,7,0-20
4615,72,61-80
4616,21,21-40
4617,2,0-20
4618,4,0-20
4619,3,0-20
4620,72,61-80
4621,6,0-20
4622,52,41-60
4623,69,61-80
4624,8,0-20
4625,8,0-20
4626,63,61-80
4627,60,41-60
4628,12,0-20
4629,13,0-20
4630,22,21-40
4631,5,0-20
4632,1,0-20
4633,72,61-80
4634,2,0-20
4635,40,21-40
4636,44,41-60
4637,71,61-80
4638,2,0-20
4639,26,21-40
4640,1,0-20
4641,1,0-20
4642,65,61-80
4643,3,0-20
4644,13,0-20
4645,33,21-40
4646,1,0-20
4647,4,0-20
4648,2,0-20
4649,72,61-80
4650,37,21-40
4651,15,0-20
4652,23,21-40
4653,30,21-40
4654,42,41-60
4655,32,21-40
4656,22,21-40
4657,42,41-60
4658,8,0-20
4659,65,61-80
4660,2,0-20
4661,70,61-80
4662,22,21-40
4663,4,0-20
4664,2,0-20
4665,67,61-80
4666,25,21-40
4667,20,0-20
4668,2,0-20
4669,51,41-60
4670,46,41-60
4671,25,21-40
4672,13,0-20
4673,25,21-40
4674,26,21-40
4675,43,41-60
4676,19,0-20
4677,10,0-20
4678,2,0-20
4679,72,61-80
4680,18,0-20
4681,9,0-20
4682,27,21-40
4683,24,21-40
4684,69,61-80
4685,46,41-60
4686,72,61-80
4687,22,21-40
4688,70,61-80
4689,2,0-20
4690,31,21-40
4691,56,41-60
4692,16,0-20
4693,52,41-60
4694,13,0-20
4695,35,21-40
4696,59,41-60
4697,72,61-80
4698,66,61-80
4699,49,41-60
4700,2,0-20
4701,21,21-40
4702,54,41-60
4703,24,21-40
4704,1,0-20
4705,6,0-20
4706,1,0-20
4707,49,41-60
4708,56,41-60
4709,56,41-60
4710,6,0-20
4711,32,21-40
4712,50,41-60
4713,58,41-60
4714,65,61-80
4715,64,61-80
4716,66,61-80
4717,38,21-40
4718,20,0-20
4719,36,21-40
4720,64,61-80
4721,1,0-20
4722,60,41-60
4723,1,0-20
4724,50,41-60
4725,1,0-20
4726,72,61-80
4727,60,41-60
4728,46,41-60
4729,69,61-80
4730,31,21-40
4731,19,0-20
4732,71,61-80
4733,12,0-20
4734,39,21-40
4735,44,41-60
4736,56,41-60
4737,72,61-80
4738,5,0-20
4739,11,0-20
4740,24,21-40
4741,15,0-20
4742,72,61-80
4743,56,41-60
4744,64,61-80
4745,34,21-40
4746,2,0-20
4747,35,21-40
4748,22,21-40
4749,5,0-20
4750,9,0-20
4751,11,0-20
4752,23,21-40
4753,4,0-20
4754,68,61-80
4755,33,21-40
4756,31,21-40
4757,1,0-20
4758,56,41-60
4759,1,0-20
4760,66,61-80
4761,72,61-80
4762,34,21-40
4763,58,41-60
4764,2,0-20
4765,37,21-40
4766,71,61-80
4767,1,0-20
4768,71,61-80
4769,35,21-40
4770,6,0-20
4771,3,0-20
